source_dir,shape,method,runtime
l1_45_Average_Pooling_2D,direct_small,Baseline Triton2,0.092013
l1_45_Average_Pooling_2D,persistent_mid,Baseline Triton2,inf
l1_45_Average_Pooling_2D,direct_small,Optimized Triton,0.089917
l1_45_Average_Pooling_2D,persistent_mid,Optimized Triton,13.082745
l1_45_Average_Pooling_2D,direct_small,Reference (PyTorch/ACL),0.003766
l1_45_Average_Pooling_2D,persistent_mid,Reference (PyTorch/ACL),0.050682
l1_45_Average_Pooling_2D,direct_small,Baseline Triton1,0.091941
l1_45_Average_Pooling_2D,persistent_mid,Baseline Triton1,inf
l1_45_Average_Pooling_2D,direct_small,Baseline Triton2,0.091965
l1_45_Average_Pooling_2D,persistent_mid,Baseline Triton2,inf
l1_45_Average_Pooling_2D,direct_small,Optimized Triton,0.090108
l1_45_Average_Pooling_2D,persistent_mid,Optimized Triton,13.072899
l1_46_Average_Pooling_3D,direct_small,Reference (PyTorch/ACL),0.004846
l1_46_Average_Pooling_3D,nonpow_medium,Reference (PyTorch/ACL),0.007206
l1_46_Average_Pooling_3D,persistent_synthetic,Reference (PyTorch/ACL),0.026517
l1_46_Average_Pooling_3D,direct_small,Baseline Triton1,inf
l1_46_Average_Pooling_3D,nonpow_medium,Baseline Triton1,inf
l1_46_Average_Pooling_3D,persistent_synthetic,Baseline Triton1,inf
l1_46_Average_Pooling_3D,direct_small,Baseline Triton2,0.021417
l1_46_Average_Pooling_3D,nonpow_medium,Baseline Triton2,0.179953
l1_46_Average_Pooling_3D,persistent_synthetic,Baseline Triton2,inf
l1_46_Average_Pooling_3D,direct_small,Optimized Triton,0.011358
l1_46_Average_Pooling_3D,nonpow_medium,Optimized Triton,0.190749
l1_46_Average_Pooling_3D,persistent_synthetic,Optimized Triton,8.095309
l1_46_Average_Pooling_3D,direct_small,Reference (PyTorch/ACL),0.004669
l1_46_Average_Pooling_3D,nonpow_medium,Reference (PyTorch/ACL),0.007235
l1_46_Average_Pooling_3D,persistent_synthetic,Reference (PyTorch/ACL),0.026542
l1_46_Average_Pooling_3D,direct_small,Baseline Triton1,inf
l1_46_Average_Pooling_3D,nonpow_medium,Baseline Triton1,inf
l1_46_Average_Pooling_3D,persistent_synthetic,Baseline Triton1,inf
l1_46_Average_Pooling_3D,direct_small,Baseline Triton2,0.021454
l1_46_Average_Pooling_3D,nonpow_medium,Baseline Triton2,0.179974
l1_46_Average_Pooling_3D,persistent_synthetic,Baseline Triton2,inf
l1_46_Average_Pooling_3D,direct_small,Optimized Triton,0.011508
l1_46_Average_Pooling_3D,nonpow_medium,Optimized Triton,0.190181
l1_46_Average_Pooling_3D,persistent_synthetic,Optimized Triton,8.139362
l1_47_Sum_reduction_over_a_dimension,dim1_target,Reference (PyTorch/ACL),6.676604
l1_47_Sum_reduction_over_a_dimension,dim1_irregular,Reference (PyTorch/ACL),0.005149
l1_47_Sum_reduction_over_a_dimension,dim0_small,Reference (PyTorch/ACL),0.003826
l1_47_Sum_reduction_over_a_dimension,dim2_small,Reference (PyTorch/ACL),0.004948
l1_47_Sum_reduction_over_a_dimension,dim1_target,Baseline Triton1,21.039068
l1_47_Sum_reduction_over_a_dimension,dim1_irregular,Baseline Triton1,0.022781
l1_47_Sum_reduction_over_a_dimension,dim0_small,Baseline Triton1,inf
l1_47_Sum_reduction_over_a_dimension,dim2_small,Baseline Triton1,0.006401
l1_47_Sum_reduction_over_a_dimension,dim1_target,Baseline Triton2,10.482754
l1_47_Sum_reduction_over_a_dimension,dim1_irregular,Baseline Triton2,0.011199
l1_47_Sum_reduction_over_a_dimension,dim0_small,Baseline Triton2,inf
l1_47_Sum_reduction_over_a_dimension,dim2_small,Baseline Triton2,0.006352
l1_47_Sum_reduction_over_a_dimension,dim1_target,Optimized Triton,8.159059
l1_47_Sum_reduction_over_a_dimension,dim1_irregular,Optimized Triton,0.011612
l1_47_Sum_reduction_over_a_dimension,dim0_small,Optimized Triton,0.005197
l1_47_Sum_reduction_over_a_dimension,dim2_small,Optimized Triton,0.004992
l1_48_Mean_reduction_over_a_dimension,small_dim1,Reference (PyTorch/ACL),0.004785
l1_48_Mean_reduction_over_a_dimension,dim0_boundary,Reference (PyTorch/ACL),0.003955
l1_48_Mean_reduction_over_a_dimension,dim2_small,Reference (PyTorch/ACL),0.004509
l1_48_Mean_reduction_over_a_dimension,target_dim1,Reference (PyTorch/ACL),6.668901
l1_48_Mean_reduction_over_a_dimension,small_dim1,Baseline Triton1,0.046067
l1_48_Mean_reduction_over_a_dimension,dim0_boundary,Baseline Triton1,inf
l1_48_Mean_reduction_over_a_dimension,dim2_small,Baseline Triton1,inf
l1_48_Mean_reduction_over_a_dimension,target_dim1,Baseline Triton1,20.419056
l1_48_Mean_reduction_over_a_dimension,small_dim1,Baseline Triton2,0.066714
l1_48_Mean_reduction_over_a_dimension,dim0_boundary,Baseline Triton2,inf
l1_48_Mean_reduction_over_a_dimension,dim2_small,Baseline Triton2,inf
l1_48_Mean_reduction_over_a_dimension,target_dim1,Baseline Triton2,6.84529
l1_48_Mean_reduction_over_a_dimension,small_dim1,Optimized Triton,0.010843
l1_48_Mean_reduction_over_a_dimension,dim0_boundary,Optimized Triton,0.003995
l1_48_Mean_reduction_over_a_dimension,dim2_small,Optimized Triton,0.004516
l1_48_Mean_reduction_over_a_dimension,target_dim1,Optimized Triton,7.951386
l1_49_Max_reduction_over_a_dimension,small_dim1,Reference (PyTorch/ACL),0.006834
l1_49_Max_reduction_over_a_dimension,medium_dim1,Reference (PyTorch/ACL),0.106707
l1_49_Max_reduction_over_a_dimension,target_original,Reference (PyTorch/ACL),5.453156
l1_49_Max_reduction_over_a_dimension,small_dim1,Baseline Triton1,0.026733
l1_49_Max_reduction_over_a_dimension,medium_dim1,Baseline Triton1,0.280932
l1_49_Max_reduction_over_a_dimension,target_original,Baseline Triton1,24.488056
l1_49_Max_reduction_over_a_dimension,small_dim1,Baseline Triton2,0.037537
l1_49_Max_reduction_over_a_dimension,medium_dim1,Baseline Triton2,0.250504
l1_49_Max_reduction_over_a_dimension,target_original,Baseline Triton2,17.077112
l1_49_Max_reduction_over_a_dimension,small_dim1,Optimized Triton,0.014283
l1_49_Max_reduction_over_a_dimension,medium_dim1,Optimized Triton,0.16597
l1_49_Max_reduction_over_a_dimension,target_original,Optimized Triton,13.200398
l1_4_Matrix_vector_multiplication_,small,Reference (PyTorch/ACL),0.002748
l1_4_Matrix_vector_multiplication_,nonpow2,Reference (PyTorch/ACL),0.003541
l1_4_Matrix_vector_multiplication_,medium,Reference (PyTorch/ACL),0.016748
l1_4_Matrix_vector_multiplication_,benchmark,Reference (PyTorch/ACL),3.261529
l1_4_Matrix_vector_multiplication_,small,Baseline Triton1,0.003945
l1_4_Matrix_vector_multiplication_,nonpow2,Baseline Triton1,0.008157
l1_4_Matrix_vector_multiplication_,medium,Baseline Triton1,0.055786
l1_4_Matrix_vector_multiplication_,benchmark,Baseline Triton1,7.245373
l1_4_Matrix_vector_multiplication_,small,Baseline Triton2,0.003148
l1_4_Matrix_vector_multiplication_,nonpow2,Baseline Triton2,0.006822
l1_4_Matrix_vector_multiplication_,medium,Baseline Triton2,0.040275
l1_4_Matrix_vector_multiplication_,benchmark,Baseline Triton2,5.253984
l1_4_Matrix_vector_multiplication_,small,Optimized Triton,0.002755
l1_4_Matrix_vector_multiplication_,nonpow2,Optimized Triton,0.005952
l1_4_Matrix_vector_multiplication_,medium,Optimized Triton,0.033724
l1_4_Matrix_vector_multiplication_,benchmark,Optimized Triton,4.414024
l1_50_Product_reduction_over_a_dimension,small,Reference (PyTorch/ACL),0.003217
l1_50_Product_reduction_over_a_dimension,target,Reference (PyTorch/ACL),0.013215
l1_50_Product_reduction_over_a_dimension,oddK,Reference (PyTorch/ACL),0.005293
l1_50_Product_reduction_over_a_dimension,small,Baseline Triton1,inf
l1_50_Product_reduction_over_a_dimension,target,Baseline Triton1,inf
l1_50_Product_reduction_over_a_dimension,oddK,Baseline Triton1,inf
l1_50_Product_reduction_over_a_dimension,small,Baseline Triton2,inf
l1_50_Product_reduction_over_a_dimension,target,Baseline Triton2,inf
l1_50_Product_reduction_over_a_dimension,oddK,Baseline Triton2,inf
l1_50_Product_reduction_over_a_dimension,small,Optimized Triton,0.002277
l1_50_Product_reduction_over_a_dimension,target,Optimized Triton,0.010224
l1_50_Product_reduction_over_a_dimension,oddK,Optimized Triton,0.005481
l1_51_Argmax_over_a_dimension,small_dim1,Reference (PyTorch/ACL),0.006141
l1_51_Argmax_over_a_dimension,irregular_dim1,Reference (PyTorch/ACL),0.006512
l1_51_Argmax_over_a_dimension,target_dim1,Reference (PyTorch/ACL),5.435073
l1_51_Argmax_over_a_dimension,small_dim1,Baseline Triton1,0.011735
l1_51_Argmax_over_a_dimension,irregular_dim1,Baseline Triton1,0.016545
l1_51_Argmax_over_a_dimension,target_dim1,Baseline Triton1,inf
l1_51_Argmax_over_a_dimension,small_dim1,Baseline Triton2,0.005974
l1_51_Argmax_over_a_dimension,irregular_dim1,Baseline Triton2,0.00708
l1_51_Argmax_over_a_dimension,target_dim1,Baseline Triton2,inf
l1_51_Argmax_over_a_dimension,small_dim1,Optimized Triton,0.005305
l1_51_Argmax_over_a_dimension,irregular_dim1,Optimized Triton,0.021318
l1_51_Argmax_over_a_dimension,target_dim1,Optimized Triton,18.542612
l1_52_Argmin_over_a_dimension,small_dim1,Reference (PyTorch/ACL),0.003991
l1_52_Argmin_over_a_dimension,irregular_dim1,Reference (PyTorch/ACL),0.007642
l1_52_Argmin_over_a_dimension,dim0_path,Reference (PyTorch/ACL),0.003663
l1_52_Argmin_over_a_dimension,dim2_path,Reference (PyTorch/ACL),0.003683
l1_52_Argmin_over_a_dimension,exact_target,Reference (PyTorch/ACL),5.440865
l1_52_Argmin_over_a_dimension,small_dim1,Baseline Triton1,0.018866
l1_52_Argmin_over_a_dimension,irregular_dim1,Baseline Triton1,0.062889
l1_52_Argmin_over_a_dimension,dim0_path,Baseline Triton1,0.102713
l1_52_Argmin_over_a_dimension,dim2_path,Baseline Triton1,0.030447
l1_52_Argmin_over_a_dimension,exact_target,Baseline Triton1,inf
l1_52_Argmin_over_a_dimension,small_dim1,Baseline Triton2,0.009192
l1_52_Argmin_over_a_dimension,irregular_dim1,Baseline Triton2,0.019564
l1_52_Argmin_over_a_dimension,dim0_path,Baseline Triton2,0.016833
l1_52_Argmin_over_a_dimension,dim2_path,Baseline Triton2,0.008147
l1_52_Argmin_over_a_dimension,exact_target,Baseline Triton2,inf
l1_52_Argmin_over_a_dimension,small_dim1,Optimized Triton,0.005203
l1_52_Argmin_over_a_dimension,irregular_dim1,Optimized Triton,0.008374
l1_52_Argmin_over_a_dimension,dim0_path,Optimized Triton,0.005708
l1_52_Argmin_over_a_dimension,dim2_path,Optimized Triton,0.01503
l1_52_Argmin_over_a_dimension,exact_target,Optimized Triton,11.32857
l1_53_Min_reduction_over_a_dimension,small_dim1,Reference (PyTorch/ACL),0.00688
l1_53_Min_reduction_over_a_dimension,target_dim1,Reference (PyTorch/ACL),5.445765
l1_53_Min_reduction_over_a_dimension,dim0_path,Reference (PyTorch/ACL),0.004157
l1_53_Min_reduction_over_a_dimension,dim2_path,Reference (PyTorch/ACL),0.005477
l1_53_Min_reduction_over_a_dimension,small_dim1,Baseline Triton1,inf
l1_53_Min_reduction_over_a_dimension,target_dim1,Baseline Triton1,inf
l1_53_Min_reduction_over_a_dimension,dim0_path,Baseline Triton1,inf
l1_53_Min_reduction_over_a_dimension,dim2_path,Baseline Triton1,inf
l1_53_Min_reduction_over_a_dimension,small_dim1,Baseline Triton2,inf
l1_53_Min_reduction_over_a_dimension,target_dim1,Baseline Triton2,inf
l1_53_Min_reduction_over_a_dimension,dim0_path,Baseline Triton2,inf
l1_53_Min_reduction_over_a_dimension,dim2_path,Baseline Triton2,inf
l1_53_Min_reduction_over_a_dimension,small_dim1,Optimized Triton,0.014162
l1_53_Min_reduction_over_a_dimension,target_dim1,Optimized Triton,9.81145
l1_53_Min_reduction_over_a_dimension,dim0_path,Optimized Triton,0.009858
l1_53_Min_reduction_over_a_dimension,dim2_path,Optimized Triton,0.040802
l1_54_conv_standard_3D__square_input__square_kernel,D16_square,Reference (PyTorch/ACL),0.009709
l1_54_conv_standard_3D__square_input__square_kernel,D32_square,Reference (PyTorch/ACL),0.042008
l1_54_conv_standard_3D__square_input__square_kernel,D64_square_exact,Reference (PyTorch/ACL),1.561635
l1_54_conv_standard_3D__square_input__square_kernel,D16_square,Baseline Triton1,0.010355
l1_54_conv_standard_3D__square_input__square_kernel,D32_square,Baseline Triton1,0.042981
l1_54_conv_standard_3D__square_input__square_kernel,D64_square_exact,Baseline Triton1,1.562517
l1_54_conv_standard_3D__square_input__square_kernel,D16_square,Baseline Triton2,0.02638
l1_54_conv_standard_3D__square_input__square_kernel,D32_square,Baseline Triton2,0.186478
l1_54_conv_standard_3D__square_input__square_kernel,D64_square_exact,Baseline Triton2,12.140945
l1_54_conv_standard_3D__square_input__square_kernel,D16_square,Optimized Triton,0.010081
l1_54_conv_standard_3D__square_input__square_kernel,D32_square,Optimized Triton,0.042001
l1_54_conv_standard_3D__square_input__square_kernel,D64_square_exact,Optimized Triton,1.561372
l1_5_Matrix_scalar_multiplication,tiny-32x32,Reference (PyTorch/ACL),0.001808
l1_5_Matrix_scalar_multiplication,small-256x256,Reference (PyTorch/ACL),0.002364
l1_5_Matrix_scalar_multiplication,medium-1kx1k,Reference (PyTorch/ACL),0.009557
l1_5_Matrix_scalar_multiplication,bench-4kx4k,Reference (PyTorch/ACL),0.139892
l1_5_Matrix_scalar_multiplication,large-8kx8k,Reference (PyTorch/ACL),0.432575
l1_5_Matrix_scalar_multiplication,huge-32kx32k,Reference (PyTorch/ACL),5.989952
l1_5_Matrix_scalar_multiplication,rect-2kx16k,Reference (PyTorch/ACL),0.237039
l1_5_Matrix_scalar_multiplication,tiny-32x32,Baseline Triton1,0.041954
l1_5_Matrix_scalar_multiplication,small-256x256,Baseline Triton1,0.034746
l1_5_Matrix_scalar_multiplication,medium-1kx1k,Baseline Triton1,0.036786
l1_5_Matrix_scalar_multiplication,bench-4kx4k,Baseline Triton1,0.142595
l1_5_Matrix_scalar_multiplication,large-8kx8k,Baseline Triton1,0.445228
l1_5_Matrix_scalar_multiplication,huge-32kx32k,Baseline Triton1,12.090885
l1_5_Matrix_scalar_multiplication,rect-2kx16k,Baseline Triton1,0.25159
l1_5_Matrix_scalar_multiplication,tiny-32x32,Baseline Triton2,0.037018
l1_5_Matrix_scalar_multiplication,small-256x256,Baseline Triton2,0.03732
l1_5_Matrix_scalar_multiplication,medium-1kx1k,Baseline Triton2,0.038179
l1_5_Matrix_scalar_multiplication,bench-4kx4k,Baseline Triton2,0.139423
l1_5_Matrix_scalar_multiplication,large-8kx8k,Baseline Triton2,0.433917
l1_5_Matrix_scalar_multiplication,huge-32kx32k,Baseline Triton2,6.089813
l1_5_Matrix_scalar_multiplication,rect-2kx16k,Baseline Triton2,0.244752
l1_5_Matrix_scalar_multiplication,tiny-32x32,Optimized Triton,0.055922
l1_5_Matrix_scalar_multiplication,small-256x256,Optimized Triton,0.05698
l1_5_Matrix_scalar_multiplication,medium-1kx1k,Optimized Triton,0.056612
l1_5_Matrix_scalar_multiplication,bench-4kx4k,Optimized Triton,0.142524
l1_5_Matrix_scalar_multiplication,large-8kx8k,Optimized Triton,0.484424
l1_5_Matrix_scalar_multiplication,huge-32kx32k,Optimized Triton,6.488729
l1_5_Matrix_scalar_multiplication,rect-2kx16k,Optimized Triton,0.26201
l1_63_conv_standard_2D__square_input__square_kernel,small_64,Reference (PyTorch/ACL),0.010315
l1_63_conv_standard_2D__square_input__square_kernel,medium_256,Reference (PyTorch/ACL),0.106406
l1_63_conv_standard_2D__square_input__square_kernel,exact_1024,Reference (PyTorch/ACL),11.60512
l1_63_conv_standard_2D__square_input__square_kernel,small_64,Baseline Triton1,inf
l1_63_conv_standard_2D__square_input__square_kernel,medium_256,Baseline Triton1,inf
l1_63_conv_standard_2D__square_input__square_kernel,exact_1024,Baseline Triton1,inf
l1_63_conv_standard_2D__square_input__square_kernel,small_64,Baseline Triton2,inf
l1_63_conv_standard_2D__square_input__square_kernel,medium_256,Baseline Triton2,inf
l1_63_conv_standard_2D__square_input__square_kernel,exact_1024,Baseline Triton2,inf
l1_63_conv_standard_2D__square_input__square_kernel,small_64,Optimized Triton,0.010304
l1_63_conv_standard_2D__square_input__square_kernel,medium_256,Optimized Triton,0.106537
l1_63_conv_standard_2D__square_input__square_kernel,exact_1024,Optimized Triton,12.347041
l1_64_conv_transposed_1D,small,Reference (PyTorch/ACL),0.008973
l1_64_conv_transposed_1D,medium,Reference (PyTorch/ACL),0.010498
l1_64_conv_transposed_1D,small,Baseline Triton1,inf
l1_64_conv_transposed_1D,medium,Baseline Triton1,inf
l1_64_conv_transposed_1D,small,Baseline Triton2,inf
l1_64_conv_transposed_1D,medium,Baseline Triton2,inf
l1_64_conv_transposed_1D,small,Optimized Triton,0.009047
l1_64_conv_transposed_1D,medium,Optimized Triton,0.010557
l1_67_conv_standard_1D,small_L256,Reference (PyTorch/ACL),0.007406
l1_67_conv_standard_1D,medium_L4096,Reference (PyTorch/ACL),0.046326
l1_67_conv_standard_1D,irregular_L8193,Reference (PyTorch/ACL),0.045343
l1_67_conv_standard_1D,exact_L131072,Reference (PyTorch/ACL),3.466113
l1_67_conv_standard_1D,small_L256,Baseline Triton1,inf
l1_67_conv_standard_1D,medium_L4096,Baseline Triton1,inf
l1_67_conv_standard_1D,irregular_L8193,Baseline Triton1,inf
l1_67_conv_standard_1D,exact_L131072,Baseline Triton1,inf
l1_67_conv_standard_1D,small_L256,Baseline Triton2,inf
l1_67_conv_standard_1D,medium_L4096,Baseline Triton2,inf
l1_67_conv_standard_1D,irregular_L8193,Baseline Triton2,inf
l1_67_conv_standard_1D,exact_L131072,Baseline Triton2,inf
l1_67_conv_standard_1D,small_L256,Optimized Triton,0.007453
l1_67_conv_standard_1D,medium_L4096,Optimized Triton,0.046139
l1_67_conv_standard_1D,irregular_L8193,Optimized Triton,0.045422
l1_67_conv_standard_1D,exact_L131072,Optimized Triton,3.4617
l1_6_Matmul_with_large_K_dimension_,direct_small,Reference (PyTorch/ACL),0.294226
l1_6_Matmul_with_large_K_dimension_,direct_nonpow2,Reference (PyTorch/ACL),1.314245
l1_6_Matmul_with_large_K_dimension_,split_medium,Reference (PyTorch/ACL),1.497458
l1_6_Matmul_with_large_K_dimension_,benchmark_largeK,Reference (PyTorch/ACL),3.908298
l1_6_Matmul_with_large_K_dimension_,direct_small,Baseline Triton1,17.794483
l1_6_Matmul_with_large_K_dimension_,direct_nonpow2,Baseline Triton1,23.003963
l1_6_Matmul_with_large_K_dimension_,split_medium,Baseline Triton1,23.226006
l1_6_Matmul_with_large_K_dimension_,benchmark_largeK,Baseline Triton1,22.708372
l1_6_Matmul_with_large_K_dimension_,direct_small,Baseline Triton2,17.799896
l1_6_Matmul_with_large_K_dimension_,direct_nonpow2,Baseline Triton2,23.001659
l1_6_Matmul_with_large_K_dimension_,split_medium,Baseline Triton2,23.219593
l1_6_Matmul_with_large_K_dimension_,benchmark_largeK,Baseline Triton2,6.533974
l1_6_Matmul_with_large_K_dimension_,direct_small,Optimized Triton,2.606238
l1_6_Matmul_with_large_K_dimension_,direct_nonpow2,Optimized Triton,9.61709
l1_6_Matmul_with_large_K_dimension_,split_medium,Optimized Triton,5.001229
l1_6_Matmul_with_large_K_dimension_,benchmark_largeK,Optimized Triton,14.502171
l1_74_conv_transposed_1D_dilated,small_L256,Reference (PyTorch/ACL),0.169719
l1_74_conv_transposed_1D_dilated,medium_L4096,Reference (PyTorch/ACL),0.162389
l1_74_conv_transposed_1D_dilated,irregular_L8193,Reference (PyTorch/ACL),0.187609
l1_74_conv_transposed_1D_dilated,exact_L131072,Reference (PyTorch/ACL),28.536316
l1_74_conv_transposed_1D_dilated,small_L256,Baseline Triton1,inf
l1_74_conv_transposed_1D_dilated,medium_L4096,Baseline Triton1,inf
l1_74_conv_transposed_1D_dilated,irregular_L8193,Baseline Triton1,inf
l1_74_conv_transposed_1D_dilated,exact_L131072,Baseline Triton1,inf
l1_74_conv_transposed_1D_dilated,small_L256,Baseline Triton2,inf
l1_74_conv_transposed_1D_dilated,medium_L4096,Baseline Triton2,inf
l1_74_conv_transposed_1D_dilated,irregular_L8193,Baseline Triton2,inf
l1_74_conv_transposed_1D_dilated,exact_L131072,Baseline Triton2,inf
l1_74_conv_transposed_1D_dilated,small_L256,Optimized Triton,0.008266
l1_74_conv_transposed_1D_dilated,medium_L4096,Optimized Triton,0.038915
l1_74_conv_transposed_1D_dilated,irregular_L8193,Optimized Triton,0.13766
l1_74_conv_transposed_1D_dilated,exact_L131072,Optimized Triton,27.095871
l1_76_conv_standard_1D_dilated_strided__,small_B2_L257,Reference (PyTorch/ACL),0.00739
l1_76_conv_standard_1D_dilated_strided__,medium_B8_L4096,Reference (PyTorch/ACL),0.031322
l1_76_conv_standard_1D_dilated_strided__,irregular_B3_L8197,Reference (PyTorch/ACL),0.025928
l1_76_conv_standard_1D_dilated_strided__,exact_B64_L524280,Reference (PyTorch/ACL),13.908068
l1_76_conv_standard_1D_dilated_strided__,small_B2_L257,Baseline Triton1,inf
l1_76_conv_standard_1D_dilated_strided__,medium_B8_L4096,Baseline Triton1,inf
l1_76_conv_standard_1D_dilated_strided__,irregular_B3_L8197,Baseline Triton1,inf
l1_76_conv_standard_1D_dilated_strided__,exact_B64_L524280,Baseline Triton1,inf
l1_76_conv_standard_1D_dilated_strided__,small_B2_L257,Baseline Triton2,inf
l1_76_conv_standard_1D_dilated_strided__,medium_B8_L4096,Baseline Triton2,inf
l1_76_conv_standard_1D_dilated_strided__,irregular_B3_L8197,Baseline Triton2,inf
l1_76_conv_standard_1D_dilated_strided__,exact_B64_L524280,Baseline Triton2,inf
l1_76_conv_standard_1D_dilated_strided__,small_B2_L257,Optimized Triton,0.007315
l1_76_conv_standard_1D_dilated_strided__,medium_B8_L4096,Optimized Triton,0.03128
l1_76_conv_standard_1D_dilated_strided__,irregular_B3_L8197,Optimized Triton,0.02588
l1_76_conv_standard_1D_dilated_strided__,exact_B64_L524280,Optimized Triton,13.924039
l1_7_Matmul_with_small_K_dimension_,small,Reference (PyTorch/ACL),0.005663
l1_7_Matmul_with_small_K_dimension_,nonpow2,Reference (PyTorch/ACL),0.008768
l1_7_Matmul_with_small_K_dimension_,medium,Reference (PyTorch/ACL),0.027972
l1_7_Matmul_with_small_K_dimension_,benchmark,Reference (PyTorch/ACL),5.836346
l1_7_Matmul_with_small_K_dimension_,small,Baseline Triton1,0.005272
l1_7_Matmul_with_small_K_dimension_,nonpow2,Baseline Triton1,0.010575
l1_7_Matmul_with_small_K_dimension_,medium,Baseline Triton1,0.02627
l1_7_Matmul_with_small_K_dimension_,benchmark,Baseline Triton1,inf
l1_7_Matmul_with_small_K_dimension_,small,Baseline Triton2,0.009094
l1_7_Matmul_with_small_K_dimension_,nonpow2,Baseline Triton2,0.019027
l1_7_Matmul_with_small_K_dimension_,medium,Baseline Triton2,0.022438
l1_7_Matmul_with_small_K_dimension_,benchmark,Baseline Triton2,3.375625
l1_7_Matmul_with_small_K_dimension_,small,Optimized Triton,0.004841
l1_7_Matmul_with_small_K_dimension_,nonpow2,Optimized Triton,0.008786
l1_7_Matmul_with_small_K_dimension_,medium,Optimized Triton,0.02588
l1_7_Matmul_with_small_K_dimension_,benchmark,Optimized Triton,5.632235
l1_82_conv_depthwise_2D_square_input_square_kernel,small_square,Reference (PyTorch/ACL),0.025035
l1_82_conv_depthwise_2D_square_input_square_kernel,medium_square,Reference (PyTorch/ACL),0.069445
l1_82_conv_depthwise_2D_square_input_square_kernel,target_square,Reference (PyTorch/ACL),2.20666
l1_82_conv_depthwise_2D_square_input_square_kernel,small_square,Baseline Triton1,0.078746
l1_82_conv_depthwise_2D_square_input_square_kernel,medium_square,Baseline Triton1,0.262714
l1_82_conv_depthwise_2D_square_input_square_kernel,target_square,Baseline Triton1,inf
l1_82_conv_depthwise_2D_square_input_square_kernel,small_square,Baseline Triton2,0.0594
l1_82_conv_depthwise_2D_square_input_square_kernel,medium_square,Baseline Triton2,0.349823
l1_82_conv_depthwise_2D_square_input_square_kernel,target_square,Baseline Triton2,inf
l1_82_conv_depthwise_2D_square_input_square_kernel,small_square,Optimized Triton,0.024245
l1_82_conv_depthwise_2D_square_input_square_kernel,medium_square,Optimized Triton,0.070908
l1_82_conv_depthwise_2D_square_input_square_kernel,target_square,Optimized Triton,2.218322
l1_86_conv_depthwise_separable_2D,tiny_32,Reference (PyTorch/ACL),0.014847
l1_86_conv_depthwise_separable_2D,small_64,Reference (PyTorch/ACL),0.029521
l1_86_conv_depthwise_separable_2D,medium_128,Reference (PyTorch/ACL),0.129588
l1_86_conv_depthwise_separable_2D,exact_512,Reference (PyTorch/ACL),5.507072
l1_86_conv_depthwise_separable_2D,tiny_32,Baseline Triton1,5.653528
l1_86_conv_depthwise_separable_2D,small_64,Baseline Triton1,28.287867
l1_86_conv_depthwise_separable_2D,medium_128,Baseline Triton1,210.440308
l1_86_conv_depthwise_separable_2D,exact_512,Baseline Triton1,inf
l1_86_conv_depthwise_separable_2D,tiny_32,Baseline Triton2,inf
l1_86_conv_depthwise_separable_2D,small_64,Baseline Triton2,inf
l1_86_conv_depthwise_separable_2D,medium_128,Baseline Triton2,inf
l1_86_conv_depthwise_separable_2D,exact_512,Baseline Triton2,inf
l1_86_conv_depthwise_separable_2D,tiny_32,Optimized Triton,0.014978
l1_86_conv_depthwise_separable_2D,small_64,Optimized Triton,0.029522
l1_86_conv_depthwise_separable_2D,medium_128,Optimized Triton,0.130726
l1_86_conv_depthwise_separable_2D,exact_512,Optimized Triton,5.505593
l1_87_conv_pointwise_2D,small_64,Reference (PyTorch/ACL),0.009718
l1_87_conv_pointwise_2D,medium_256,Reference (PyTorch/ACL),0.233365
l1_87_conv_pointwise_2D,exact_1024,Reference (PyTorch/ACL),13.131376
l1_87_conv_pointwise_2D,small_64,Baseline Triton1,inf
l1_87_conv_pointwise_2D,medium_256,Baseline Triton1,inf
l1_87_conv_pointwise_2D,exact_1024,Baseline Triton1,inf
l1_87_conv_pointwise_2D,small_64,Baseline Triton2,inf
l1_87_conv_pointwise_2D,medium_256,Baseline Triton2,inf
l1_87_conv_pointwise_2D,exact_1024,Baseline Triton2,inf
l1_87_conv_pointwise_2D,small_64,Optimized Triton,0.00976
l1_87_conv_pointwise_2D,medium_256,Optimized Triton,0.232161
l1_87_conv_pointwise_2D,exact_1024,Optimized Triton,13.146962
l1_88_MinGPTNewGelu,odd_257x513,Reference (PyTorch/ACL),0.015196
l1_88_MinGPTNewGelu,medium_1024x2048,Reference (PyTorch/ACL),0.06467
l1_88_MinGPTNewGelu,target_8192x8192,Reference (PyTorch/ACL),4.100237
l1_88_MinGPTNewGelu,odd_257x513,Baseline Triton1,0.00265
l1_88_MinGPTNewGelu,medium_1024x2048,Baseline Triton1,0.020352
l1_88_MinGPTNewGelu,target_8192x8192,Baseline Triton1,0.537209
l1_88_MinGPTNewGelu,odd_257x513,Baseline Triton2,0.004242
l1_88_MinGPTNewGelu,medium_1024x2048,Baseline Triton2,0.019407
l1_88_MinGPTNewGelu,target_8192x8192,Baseline Triton2,0.446032
l1_88_MinGPTNewGelu,odd_257x513,Optimized Triton,0.00576
l1_88_MinGPTNewGelu,medium_1024x2048,Optimized Triton,0.020648
l1_88_MinGPTNewGelu,target_8192x8192,Optimized Triton,0.476982
l1_89_cumsum,M32_N64,Reference (PyTorch/ACL),0.004199
l1_89_cumsum,M32_N128,Reference (PyTorch/ACL),0.005595
